epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3110.33,1.34855,0.95519,0.90941,0.4359,0.33286,0.33134,0.19279,1.32776,0.97276,0.90522,0.002278,0.002278,0.002278
80,3149.73,1.35012,0.94707,0.90982,0.43532,0.32984,0.33121,0.19242,1.32969,0.97411,0.90565,0.002179,0.002179,0.002179
81,3188.69,1.338,0.93831,0.90691,0.44009,0.33049,0.33226,0.19402,1.32664,0.96991,0.9045,0.00208,0.00208,0.00208
82,3227.93,1.35112,0.95147,0.90733,0.43955,0.33184,0.3338,0.19435,1.3266,0.96721,0.90404,0.001981,0.001981,0.001981
83,3266.99,1.33691,0.9414,0.90822,0.42978,0.33434,0.33455,0.19486,1.3271,0.96724,0.90374,0.001882,0.001882,0.001882
84,3306.08,1.32142,0.9301,0.90333,0.44448,0.32719,0.33345,0.19511,1.32568,0.96746,0.90392,0.001783,0.001783,0.001783
85,3345.48,1.35085,0.95207,0.90747,0.43478,0.33317,0.33482,0.19545,1.32585,0.96727,0.90396,0.001684,0.001684,0.001684
86,3384.43,1.32539,0.92862,0.90389,0.43539,0.3329,0.33484,0.19509,1.32408,0.96614,0.90278,0.001585,0.001585,0.001585
87,3423.44,1.33164,0.93666,0.90534,0.44151,0.33272,0.33448,0.19488,1.32665,0.96624,0.90368,0.001486,0.001486,0.001486
88,3462.62,1.31919,0.9236,0.90146,0.44346,0.33208,0.33463,0.1949,1.32625,0.96532,0.90352,0.001387,0.001387,0.001387
89,3502.04,1.33084,0.92966,0.90231,0.45267,0.32747,0.33507,0.19474,1.32654,0.96513,0.90397,0.001288,0.001288,0.001288
90,3541.85,1.33588,0.93225,0.90467,0.45256,0.32791,0.33499,0.19486,1.32715,0.96521,0.90386,0.001189,0.001189,0.001189
91,3580.35,1.28626,0.89499,0.90243,0.43853,0.32777,0.33189,0.19326,1.32857,0.96848,0.90447,0.00109,0.00109,0.00109
92,3618.4,1.27648,0.8823,0.9001,0.43842,0.32649,0.3311,0.19271,1.32895,0.96857,0.90475,0.000991,0.000991,0.000991
93,3656.57,1.29132,0.88834,0.9005,0.44274,0.32845,0.33268,0.19386,1.327,0.96608,0.90436,0.000892,0.000892,0.000892
94,3694.8,1.28583,0.87993,0.90078,0.44684,0.32393,0.33231,0.19383,1.32759,0.96545,0.90409,0.000793,0.000793,0.000793
95,3732.67,1.27633,0.87964,0.89822,0.44077,0.32903,0.33228,0.19418,1.32799,0.96588,0.90393,0.000694,0.000694,0.000694
96,3770.89,1.26092,0.86756,0.8975,0.4439,0.32762,0.33134,0.19368,1.32857,0.96631,0.90404,0.000595,0.000595,0.000595
97,3809.09,1.27624,0.87632,0.89864,0.44659,0.32514,0.3316,0.1937,1.32891,0.96638,0.90409,0.000496,0.000496,0.000496
98,3847.28,1.27785,0.87441,0.89766,0.44824,0.32375,0.33229,0.19368,1.32792,0.96525,0.90387,0.000397,0.000397,0.000397
99,3885.73,1.26302,0.86691,0.89501,0.45196,0.3224,0.33303,0.19399,1.32744,0.96587,0.90384,0.000298,0.000298,0.000298
100,3924.22,1.26486,0.86754,0.8981,0.45248,0.32179,0.33265,0.19402,1.32737,0.96591,0.90383,0.000199,0.000199,0.000199
